업무,공고번호-차수,분류,공고명,공고기관,수요기관,계약방법,입력일시 (입찰마감일시),공동 수급,투찰,내용링크
용역,E112100067-00,일반,발전계획입출력프로그램(RSCT) 개선 감리 용역,한국전력거래소,재무경영팀,제한(총액),2021/06/15 15:50 (2021/06/30 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210626350&bidseq=00
용역,E112100066-00,일반,내부회계관리제도 구축 용역,한국전력거래소,재무경영팀,일반(총액),2021/06/15 10:54 (2021/06/25 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210625754&bidseq=00
용역,E112100060-00,일반,제주본부 업무용차량 임차,한국전력거래소,재무경영팀,제한(총액),2021/06/14 12:59 (2021/06/22 13:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210622785&bidseq=00
용역,E112100065-00,일반,발전계획입출력프로그램(RSCT) 개선 감리 용역,한국전력거래소,재무경영팀,제한(총액),2021/06/14 09:44 (2021/06/30 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210622308&bidseq=00
용역,E112100063-00,일반,20-6차 규칙개정 관련 전력거래시스템 개선 감리 용역,한국전력거래소,재무경영팀,제한(총액),2021/06/14 09:31 (2021/06/25 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210622309&bidseq=00
물품,A112100014-00,일반,"본사 OA기기(컴퓨터, 혁신제품) 구매(물품식별번호 : 23731060)",한국전력거래소,기획본부,수의(총액),2021/06/14 00:00 (2021/06/24 16:25),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/selectProdBid.do?tbidno=20210622429&bidseq=00
물품,A112100013-00,일반,복합기 및 프린터 소모품 구매,한국전력거래소,기획본부,수의(총액),2021/06/14 00:00 (2021/06/24 17:09),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/selectProdBid.do?tbidno=20210622428&bidseq=00
물품,A112100012-00,일반,모의입찰_수의계약 테스트,한국전력거래소,기획본부,수의(총액),2021/06/10 11:25 (2021/06/11 12:25),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/selectProdBid.do?tbidno=20210618131&bidseq=00
용역,E112100061-00,일반,[재공고]가상발전기(VPP)를 활용한 재생에너지 발전량 입찰제도 도입을 위한 연구용역,한국전력거래소,재무경영팀,제한(총액),2021/06/02 08:43 (2021/06/14 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210604346&bidseq=00
용역,E112100059-00,일반,20-6차 규칙개정 관련 전력거래시스템 개선 감리 용역,한국전력거래소,재무경영팀,제한(총액),2021/05/28 11:06 (2021/06/08 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210541421&bidseq=00
용역,E112100058-00,일반,20-6차 전력시장운영규칙 개정 관련 전력거래시스템 개선 용역,한국전력거래소,재무경영팀,제한(총액),2021/05/28 10:59 (2021/06/08 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210541419&bidseq=00
용역,E112100057-00,일반,제약기반 발전계획 및 실시간UC 도입에 따른 국내 수급/관제운영 체계 전환 전략에 관한 연구용역,한국전력거래소,재무경영팀,제한(총액),2021/05/27 16:28 (2021/06/08 10:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210541129&bidseq=00
물품,A112100010-00,일반,창립 20주년 기념품 구매,한국전력거래소,기획본부,수의(총액),2021/05/24 09:46 (2021/05/26 10:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/selectProdBid.do?tbidno=20210532404&bidseq=00
용역,E112100056-00,일반,발전계획입출력프로그램(RSCT) 개선 용역,한국전력거래소,재무경영팀,제한(총액),2021/05/20 17:15 (2021/06/30 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210529049&bidseq=00
용역,E112100055-00,일반,[2차신규]일사예측정확도 향상을 위한 상세구름예측 용역,한국전력거래소,재무경영팀,제한(총액),2021/05/18 17:51 (2021/05/28 17:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210526436&bidseq=00
용역,E112100054-00,일반,특수일 산업체 조업률 조사용역,한국전력거래소,재무경영팀,제한(총액),2021/05/18 17:37 (2021/06/02 10:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210527155&bidseq=00
용역,E112100053-00,일반,2021년도 혁신전략 수립 및 내부평가 개선방안 마련 용역,한국전력거래소,재무경영팀,제한(총액),2021/05/13 15:59 (2021/05/25 16:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210518171&bidseq=00
용역,E112100052-00,일반,[정정공고]미시 패널데이터 분석을 통한 제조업 업종별 전력소비 변화 분석 연구용역,한국전력거래소,재무경영팀,제한(총액),2021/05/12 17:21 (2021/05/18 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210516473&bidseq=00
물품,A112100009-00,일반,"본사 OA기기(컴퓨터, 혁신제품) 구매(물품식별번호 : 23731060)",한국전력거래소,기획본부,수의(총액),2021/05/12 00:00 (2021/05/13 17:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/selectProdBid.do?tbidno=20210514710&bidseq=00
용역,E112100051-00,일반,'21~'22년도 EMS 원격소장치(RTU) 현장검증 용역,한국전력거래소,재무경영팀,일반(총액),2021/05/11 13:15 (2021/05/25 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210513143&bidseq=00
물품,A112100008-00,일반,본사사옥 유지관리용 소모성자재 구매,한국전력거래소,기획본부,수의(총액),2021/05/10 00:00 (2021/05/12 17:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/selectProdBid.do?tbidno=20210510803&bidseq=00
용역,E112100050-00,일반,[2차신규]동해안 및 제주지역 발전제약 효율화 방안 연구용역,한국전력거래소,재무경영팀,제한(총액),2021/05/07 14:46 (2021/05/21 11:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210510222&bidseq=00
용역,E112100049-00,일반,미시 패널데이터 분석을 통한 제조업 업종별 전력소비 변화 분석 연구용여,한국전력거래소,재무경영팀,제한(총액),2021/05/07 14:30 (2021/05/18 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210509062&bidseq=00
용역,E112100048-00,일반,실계통 기반 계통운영을 대비한 주간 전력수요예측 개선에 관한 연구용역,한국전력거래소,재무경영팀,제한(총액),2021/05/07 10:18 (2021/05/18 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210508582&bidseq=00
용역,E112100047-00,일반,제주 Big-Data 기반 Data Mart 시스템 개발사업,한국전력거래소,재무경영팀,제한(총액),2021/05/06 12:28 (2021/05/18 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210506076&bidseq=00
용역,E112100046-00,일반,2021년 상반기 신입직원 입문소양 교육 위탁 용역,한국전력거래소,재무경영팀,제한(총액),2021/05/03 15:33 (2021/05/13 16:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210501817&bidseq=00
물품,G112100014-00,일반,DB분석용 소프트웨어 구매,한국전력거래소,기획본부,제한(총액),2021/05/03 00:00 (2021/05/12 11:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/selectProdBid.do?tbidno=20210501068&bidseq=00
용역,E112100044-00,일반,2021년 상반기 신입직원 입문소양 교육 위탁 용역,한국전력거래소,재무경영팀,제한(총액),2021/04/30 11:38 (2021/05/11 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210452283&bidseq=00
용역,E112100045-00,일반,'21~'22년도 EMS 원격소장치(RTU) 현장검증 용역,한국전력거래소,재무경영팀,일반(총액),2021/04/30 11:04 (2021/05/11 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210451917&bidseq=00
용역,E112100043-00,일반,'21년도 정보보호 및 개인정보보호 관리체계 인증 컨설팅,한국전력거래소,재무경영팀,제한(총액),2021/04/28 16:06 (2021/05/11 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210448798&bidseq=00
용역,E112100042-00,일반,일사예측정확도 향상을 위한 상세구름예측 용역,한국전력거래소,재무경영팀,제한(총액),2021/04/27 17:51 (2021/05/11 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210448032&bidseq=00
용역,E112100041-00,일반,가상발전기(VPP)를 활용한 재생에너지 발전량 입찰제도 도입을 위한 연구용역,한국전력거래소,재무경영팀,제한(총액),2021/04/26 17:01 (2021/05/07 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210444096&bidseq=00
용역,E112100040-00,일반,PMU를 이용한 발전기 동특성자료 검증기준 및 시스템 구축 연구용역,한국전력거래소,재무경영팀,제한(총액),2021/04/26 16:52 (2021/05/07 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210444098&bidseq=00
용역,E112100039-00,일반,제주 빅데이터(Big-Data) 기반 데이터마트(Data Mart)구축 감리용역,한국전력거래소,재무경영팀,제한(총액),2021/04/21 15:26 (2021/05/04 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210436973&bidseq=00
용역,E112100038-00,일반,제주 Big-Data 기반 Data Mart 시스템 개발사업,한국전력거래소,재무경영팀,제한(총액),2021/04/21 15:20 (2021/05/04 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210436980&bidseq=00
물품,A112100007-00,일반,본사사옥 공조기 및 항온항습기 필터 구매,한국전력거래소,기획본부,수의(총액),2021/04/16 08:55 (2021/04/20 18:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/selectProdBid.do?tbidno=20210427777&bidseq=00
용역,E112100037-00,일반,'21년도 정보보호 및 개인정보보호 관리체계 인증 컨설팅,한국전력거래소,재무경영팀,제한(총액),2021/04/13 11:13 (2021/04/23 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210421505&bidseq=00
물품,G112100008-00,일반,전력거래 업무용 WEB 서버 구매,한국전력거래소,기획본부,제한(총액),2021/04/13 00:00 (2021/04/21 11:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/selectProdBid.do?tbidno=20210420734&bidseq=00
물품,G112100007-00,일반,CBP-OA망 분리 관련 EIS 및 기상시스템 설비보강 구매,한국전력거래소,기획본부,제한(총액),2021/04/13 00:00 (2021/04/21 11:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/selectProdBid.do?tbidno=20210420735&bidseq=00
용역,E112100036-00,일반,계통보조서비스 적정 정산단가 산정을 위한 연구,한국전력거래소,재무경영팀,제한(총액),2021/04/07 09:57 (2021/04/19 11:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210411667&bidseq=00
용역,E112100035-00,일반,IT서비스관리시스템 인프라 보강 및 기능고도화 사업,한국전력거래소,재무경영팀,제한(총액),2021/04/05 17:18 (2021/05/18 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210407016&bidseq=00
용역,E112100034-00,일반,발전기 운전실적 분석시스템 성능개선,한국전력거래소,재무경영팀,제한(총액),2021/04/05 17:02 (2021/04/16 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210407019&bidseq=00
용역,E112100033-00,일반,재생e 예측제도 시행을 위한 전력시장운영시스템 기능개선 용역,한국전력거래소,재무경영팀,제한(총액),2021/03/30 17:12 (2021/04/13 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210356446&bidseq=00
용역,E112100032-00,일반,재생e 예측제도 시행을 위한 전력시장운영시스템 기능개선 용역,한국전력거래소,재무경영팀,제한(총액),2021/03/30 15:55 (2021/04/13 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210355936&bidseq=00
물품,A112100006-00,일반,보안관제 종합상황반 화면 표출용 고해상도 그래픽카드 등 부품 구매,한국전력거래소,기획본부,수의(총액),2021/03/30 00:00 (2021/04/01 09:25),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/selectProdBid.do?tbidno=20210355834&bidseq=00
물품,A112100005-00,일반,전력계통해석툴(PSS/E) 구매,한국전력거래소,기획본부,수의(총액),2021/03/25 00:00 (2021/03/26 09:45),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/selectProdBid.do?tbidno=20210348639&bidseq=00
용역,E112100030-00,일반,재생e 예측제도 시행을 위한 전력시장운영시스템 기능개선 용역,한국전력거래소,재무경영팀,제한(총액),2021/03/18 14:48 (2021/03/30 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210335961&bidseq=00
물품,A112100004-00,일반,행정안전부 공통기반망 화상회의 시스템 구매,한국전력거래소,기획본부,수의(총액),2021/03/15 00:00 (2021/03/19 13:37),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/selectProdBid.do?tbidno=20210325455&bidseq=00
용역,E112100029-00,일반,동해안 및 제주지역 발전제약 효율화 방안 연구용역,한국전력거래소,재무경영팀,제한(총액),2021/03/09 14:57 (2021/03/22 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210315859&bidseq=00
용역,E112100027-00,일반,재생에너지 확대를 위한 PPA 구매자의 전력거래 기준 및 정산체계 연구용역,한국전력거래소,재무경영팀,제한(총액),2021/03/08 14:59 (2021/03/19 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210312930&bidseq=00
용역,E112100028-00,일반,재생e 예측제도 시행을 위한 전력시장운영시스템 기능개선 용역,한국전력거래소,재무경영팀,제한(총액),2021/03/08 14:58 (2021/03/18 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210312208&bidseq=00
용역,E112100026-00,일반,EMS 기반 계통운영기술 산학 공유플랫폼 구축 용역,한국전력거래소,재무경영팀,제한(총액),2021/02/26 17:13 (2021/04/08 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210244512&bidseq=00
용역,E112100024-00,일반,2020년도 상용자가발전업체조사 용역,한국전력거래소,재무경영팀,제한(총액),2021/02/23 16:50 (2021/03/08 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210237235&bidseq=00
물품,G112100005-00,일반,위성급전전화 후비시스템용 면진테이블 구매,한국전력거래소,기획본부,제한(총액),2021/02/23 00:00 (2021/03/04 11:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/selectProdBid.do?tbidno=20210236154&bidseq=00
용역,E112100021-00,일반,[2차 신규]제주본부 업무용차량 임차,한국전력거래소,재무경영팀,제한(총액),2021/02/19 10:09 (2021/02/25 11:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210231208&bidseq=00
용역,E112100022-00,일반,[모의입찰] 공고등록 테스트 1,한국전력거래소,경영지원처,제한(총액),2021/02/18 23:40 (2019/08/12 09:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210230720&bidseq=00
용역,E112100020-00,일반,[재공고]과학화보안장비 유지보수 용역,한국전력거래소,재무경영팀,제한(총액),2021/02/18 11:18 (2021/03/03 11:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210228743&bidseq=00
물품,A112100002-00,일반,커피머신 구매,한국전력거래소,기획본부,수의(총액),2021/02/18 00:00 (2021/02/19 17:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/selectProdBid.do?tbidno=20210228930&bidseq=00
물품,A112100003-00,일반,본사사옥 냉동기계설비(스크류 냉동기) 부품교체,한국전력거래소,기획본부,수의(총액),2021/02/18 00:00 (2021/02/22 17:28),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/selectProdBid.do?tbidno=20210228684&bidseq=00
용역,E112100014-00,일반,자체건설 REC 가중평균단가 산정 용역,한국전력거래소,재무경영팀,일반(총액),2021/02/08 11:32 (2021/02/19 11:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210211819&bidseq=00
용역,E112100012-00,일반,[2차 신규]제주본부 업무용차량 임차,한국전력거래소,재무경영팀,제한(총액),2021/02/08 10:00 (2021/02/18 10:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210211317&bidseq=00
용역,E112100011-00,일반,과학화보안장비 유지보수 용역,한국전력거래소,재무경영팀,제한(총액),2021/02/02 16:55 (2021/02/16 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210204099&bidseq=00
물품,G112100003-00,일반,전력IT 무정전전원공급장치 소모성 부품 구입 및 교체,한국전력거래소,기획본부,제한(총액),2021/02/01 00:00 (2021/02/10 12:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/selectProdBid.do?tbidno=20210200595&bidseq=00
용역,E112100007-00,일반,전력시장 적용 설비예비율 산정을 위한 연구용역,한국전력거래소,재무경영팀,제한(총액),2021/01/29 10:25 (2021/02/09 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210130913&bidseq=00
용역,E112100005-00,일반,2021년 업무용차량 신규임차,한국전력거래소,재무경영팀,제한(총액),2021/01/28 10:59 (2021/02/05 11:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210128772&bidseq=00
용역,E112100006-00,일반,제주본부 업무용차량 임차,한국전력거래소,재무경영팀,제한(총액),2021/01/27 16:56 (2021/02/05 17:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210127926&bidseq=00
물품,A112100001-00,일반,본부사옥 유지관리 소모성 자재 구매,한국전력거래소,기획본부,수의(총액),2021/01/27 11:07 (2021/02/01 18:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/selectProdBid.do?tbidno=20210128058&bidseq=00
용역,E112100003-00,일반,플러스DR 및 FastDR 제도시행을 위한 DR시스템 기능개선 용역,한국전력거래소,재무경영팀,제한(총액),2021/01/22 16:17 (2021/02/02 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210122025&bidseq=00
용역,E112100001-00,일반,전력시장운영규칙 개정에 따른 전력거래시스템 개선 용역,한국전력거래소,재무경영팀,제한(총액),2021/01/05 17:22 (2021/01/19 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210101945&bidseq=00
용역,E112100149-00,일반,재난대비 2022년도 전자기기보험 재가입,한국전력거래소,재무경영팀,일반(총액),2021/12/31 14:20 (2022/01/11 15:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20211250487&bidseq=00
물품,A112100033-00,일반,본사 근무환경 개선을 위한 에어샤워기 구매(물품식별번호 : 23700917),한국전력거래소,기획본부,수의(총액),2021/12/30 11:35 (2021/12/31 18:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/selectProdBid.do?tbidno=20211248773&bidseq=00
물품,A112100032-00,취소,본사 근무환경 개선을 위한 에어샤워기 구매(물품식별번호 : 23700917),한국전력거래소,기획본부,수의(총액),2021/12/30 11:08 (2021/12/31 18:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/selectProdBid.do?tbidno=20211248768&bidseq=00
물품,A112100031-00,일반,본사 근무환경 개선을 위한 에어샤워기 구매(물품식별번호 : 23700917),한국전력거래소,기획본부,수의(총액),2021/12/29 17:22 (2021/12/31 18:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/selectProdBid.do?tbidno=20211248282&bidseq=00
물품,A112100029-00,일반,EMS 스터디 전용서버 신규 구축,한국전력거래소,기획본부,수의(총액),2021/12/20 14:10 (2021/12/30 14:10),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/selectProdBid.do?tbidno=20211236219&bidseq=00
물품,A112100028-00,일반,중장기 전력수급 분석 전산모형 라이센스 갱신,한국전력거래소,기획본부,수의(총액),2021/12/20 00:00 (2021/12/31 18:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/selectProdBid.do?tbidno=20211235245&bidseq=00
용역,E112100148-00,일반,중장기(2022년~2031년)재무전망 용역,한국전력거래소,재무경영팀,일반(총액),2021/12/14 16:04 (2021/12/24 17:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20211226021&bidseq=00
용역,E112100147-00,일반,발전계획입출력프로그램(RSCT) 유지관리 용역,한국전력거래소,재무경영팀,제한(총액),2021/12/10 10:50 (2021/12/21 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20211219155&bidseq=00
물품,G112100018-00,일반,보안관제 망분리 및 설비 보강,한국전력거래소,기획본부,제한(총액),2021/12/02 00:00 (2021/12/10 11:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/selectProdBid.do?tbidno=20211203704&bidseq=00
용역,E112100146-00,일반,차기 제주 전력계통운영시스템(EMS) 구축 용역,한국전력거래소,재무경영팀,일반(총액),2021/12/01 17:24 (2021/12/14 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20211203965&bidseq=00
용역,E112100145-00,일반,차기 제주 전력계통운영시스템(EMS) 구축 감리 용역,한국전력거래소,재무경영팀,일반(총액),2021/12/01 16:49 (2021/12/14 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20211202341&bidseq=00
용역,E112100144-00,일반,탄소중립에 따른 산업부문 전력수요 영향 분석 용역,한국전력거래소,재무경영팀,제한(총액),2021/11/30 17:14 (2021/12/10 17:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20211148401&bidseq=00
용역,E112100143-00,일반,용량가격 관련 계수 산정 기능개발 용역,한국전력거래소,재무경영팀,제한(총액),2021/11/25 11:24 (2021/12/07 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20211140658&bidseq=00
물품,A112100027-00,일반,정보통신전산실 UPS 배터리 교체,한국전력거래소,기획본부,수의(총액),2021/11/19 00:00 (2021/11/24 18:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/selectProdBid.do?tbidno=20211131154&bidseq=00
